time,open,high,low,close,tick_volume,tick_volume,spread
2025-10-27 06:20:00+00:00,4074.29,4080.73,4074.0,4079.36,984,0,4
2025-10-27 06:25:00+00:00,4079.52,4084.68,4078.94,4081.97,975,0,21
2025-10-27 06:30:00+00:00,4081.89,4084.1,4080.02,4083.38,1483,0,37
2025-10-27 06:35:00+00:00,4083.38,4083.6,4079.01,4079.08,1243,0,24
2025-10-27 06:40:00+00:00,4079.05,4081.34,4078.11,4079.88,1233,0,5
2025-10-27 06:45:00+00:00,4079.92,4082.79,4078.36,4081.74,909,0,27
2025-10-27 06:50:00+00:00,4081.75,4083.97,4081.14,4082.05,906,0,16
2025-10-27 06:55:00+00:00,4081.95,4081.95,4076.34,4079.82,1226,0,14
2025-10-27 07:00:00+00:00,4079.8,4084.18,4078.1,4078.1,1416,0,9
2025-10-27 07:05:00+00:00,4078.22,4085.09,4077.4,4080.83,1226,0,9
2025-10-27 07:10:00+00:00,4080.69,4081.96,4078.41,4079.85,1043,0,15
2025-10-27 07:15:00+00:00,4079.86,4082.25,4078.77,4081.58,1327,0,1
2025-10-27 07:20:00+00:00,4081.55,4082.89,4078.24,4082.67,1104,0,11
2025-10-27 07:25:00+00:00,4082.68,4084.04,4080.73,4082.1,1446,0,10
2025-10-27 07:30:00+00:00,4082.12,4082.69,4078.88,4082.11,1103,0,11
2025-10-27 07:35:00+00:00,4082.1,4083.44,4081.29,4083.11,984,0,15
2025-10-27 07:40:00+00:00,4083.1,4083.56,4079.81,4079.94,936,0,22
2025-10-27 07:45:00+00:00,4079.94,4083.03,4078.45,4081.17,1193,0,8
2025-10-27 07:50:00+00:00,4081.14,4082.09,4077.78,4077.91,1112,0,29
2025-10-27 07:55:00+00:00,4077.96,4078.63,4074.11,4078.19,1658,0,12
2025-10-27 08:00:00+00:00,4078.18,4079.89,4074.55,4074.94,1409,0,21
2025-10-27 08:05:00+00:00,4074.94,4076.66,4073.57,4073.78,1198,0,18
2025-10-27 08:10:00+00:00,4073.83,4074.29,4070.2,4071.66,1293,0,1
2025-10-27 08:15:00+00:00,4071.66,4074.63,4070.84,4073.2,1317,0,10
2025-10-27 08:20:00+00:00,4073.15,4073.44,4067.11,4069.31,1708,0,9
2025-10-27 08:25:00+00:00,4069.32,4069.32,4066.03,4068.52,812,0,22
2025-10-27 08:30:00+00:00,4068.52,4071.43,4068.52,4070.13,986,0,24
2025-10-27 08:35:00+00:00,4070.12,4071.4,4068.8,4068.81,988,0,20
2025-10-27 08:40:00+00:00,4068.65,4070.77,4066.69,4070.76,1084,0,30
2025-10-27 08:45:00+00:00,4070.77,4071.08,4067.77,4068.99,1290,0,27
2025-10-27 08:50:00+00:00,4069.03,4069.46,4066.64,4067.26,1023,0,9
2025-10-27 08:55:00+00:00,4067.25,4069.07,4064.16,4068.88,1818,0,17
2025-10-27 09:00:00+00:00,4068.89,4068.89,4064.18,4065.21,1661,0,14
2025-10-27 09:05:00+00:00,4065.22,4067.4,4063.82,4065.98,1773,0,1
2025-10-27 09:10:00+00:00,4065.98,4067.11,4063.78,4066.79,1940,0,16
2025-10-27 09:15:00+00:00,4066.79,4070.45,4065.3,4066.19,1592,0,12
2025-10-27 09:20:00+00:00,4066.19,4066.65,4057.93,4058.58,1632,0,10
2025-10-27 09:25:00+00:00,4058.71,4059.95,4056.21,4058.71,1794,0,11
2025-10-27 09:30:00+00:00,4058.69,4062.56,4058.44,4060.75,1811,0,1
2025-10-27 09:35:00+00:00,4060.71,4062.56,4058.35,4062.11,1586,0,7
2025-10-27 09:40:00+00:00,4062.15,4062.15,4058.58,4058.98,1255,0,1
2025-10-27 09:45:00+00:00,4058.9,4061.71,4055.44,4057.77,1217,0,5
2025-10-27 09:50:00+00:00,4057.77,4057.77,4039.08,4040.68,1993,0,8
2025-10-27 09:55:00+00:00,4040.85,4044.77,4024.54,4043.6,3090,0,1
2025-10-27 10:00:00+00:00,4043.6,4050.35,4041.01,4044.95,2135,0,11
2025-10-27 10:05:00+00:00,4044.95,4049.84,4036.34,4036.55,2066,0,15
2025-10-27 10:10:00+00:00,4036.53,4040.11,4029.95,4036.77,2447,0,1
2025-10-27 10:15:00+00:00,4036.65,4043.31,4033.92,4038.73,2279,0,11
2025-10-27 10:20:00+00:00,4038.73,4042.49,4037.05,4042.16,1706,0,19
2025-10-27 10:25:00+00:00,4042.15,4042.58,4035.77,4037.56,1734,0,6
2025-10-27 10:30:00+00:00,4037.12,4041.18,4036.53,4039.61,1334,0,21
2025-10-27 10:35:00+00:00,4039.63,4049.63,4039.1,4045.59,1735,0,1
2025-10-27 10:40:00+00:00,4045.53,4045.57,4037.55,4042.87,1359,0,25
2025-10-27 10:45:00+00:00,4042.87,4047.87,4041.71,4046.38,1572,0,17
2025-10-27 10:50:00+00:00,4046.36,4048.29,4038.85,4040.27,1269,0,8
2025-10-27 10:55:00+00:00,4040.27,4042.63,4039.0,4039.92,1350,0,25
2025-10-27 11:00:00+00:00,4039.93,4044.12,4038.07,4043.93,862,0,17
2025-10-27 11:05:00+00:00,4044.01,4047.83,4040.72,4045.92,1187,0,1
2025-10-27 11:10:00+00:00,4045.94,4047.5,4039.91,4043.51,1717,0,20
2025-10-27 11:15:00+00:00,4043.48,4044.55,4040.85,4043.55,1176,0,21
2025-10-27 11:20:00+00:00,4043.57,4045.37,4041.28,4041.44,1230,0,15
2025-10-27 11:25:00+00:00,4041.44,4043.47,4034.94,4036.12,1419,0,18
2025-10-27 11:30:00+00:00,4036.12,4037.64,4028.96,4035.31,1920,0,18
2025-10-27 11:35:00+00:00,4035.31,4045.9,4035.31,4042.94,1092,0,27
2025-10-27 11:40:00+00:00,4042.98,4044.54,4039.47,4041.45,1144,0,20
2025-10-27 11:45:00+00:00,4041.77,4042.62,4039.37,4040.6,1220,0,19
